,prompt,live
0,a {0} {1} in the jungle,False
2,a {0} {1} on the beach,False
8,a {0} {1} with a blue house in the background,False
9,a {0} {1} on top of a purple rug in a forest,False
12,a {0} {1} with the Eiffel Tower in the background,False
14,a {0} {1} floating in an ocean of milk,False
21,a purple {0} {1},False
24,a cube shaped {0} {1},False
25,a {0} {1} in the jungle,True
26,a {0} {1} in the snow,True
27,a {0} {1} on the beach,True
33,a {0} {1} with a blue house in the background,True
34,a {0} {1} on top of a purple rug in a forest,True
36,a {0} {1} wearing a santa hat,True
40,a {0} {1} in a firefighter outfit,True
49,a cube shaped {0} {1},True
