condition,subject,CLIP-I,CLIP-T
no_ppl,backpack,0.8701578974723816,0.20216089487075806
no_ppl,backpack_dog,0.7931885123252869,0.1946459859609604
no_ppl,bear_plushie,0.7843456268310547,0.20267824828624725
no_ppl,berry_bowl,0.7542697787284851,0.19203197956085205
no_ppl,can,0.7233003973960876,0.18595607578754425
no_ppl,candle,0.786096453666687,0.20017851889133453
no_ppl,cat,0.8628255128860474,0.20736171305179596
no_ppl,cat2,0.8334347605705261,0.19901733100414276
no_ppl,clock,0.8076092600822449,0.19622935354709625
no_ppl,colorful_sneaker,0.8370936512947083,0.21014632284641266
no_ppl,dog,0.8537861108779907,0.2041282206773758
no_ppl,dog2,0.8551579117774963,0.20544736087322235
no_ppl,dog3,0.783154308795929,0.196758434176445
no_ppl,dog5,0.8216950297355652,0.19598816335201263
no_ppl,dog6,0.8594606518745422,0.2068139910697937
no_ppl,dog7,0.8573240041732788,0.1954921931028366
no_ppl,dog8,0.8461059331893921,0.2010601907968521
no_ppl,duck_toy,0.8218033909797668,0.20290517807006836
no_ppl,fancy_boot,0.8347601890563965,0.20716629922389984
no_ppl,grey_sloth_plushie,0.8007186055183411,0.20557153224945068
no_ppl,monster_toy,0.6608932614326477,0.1987985223531723
no_ppl,pink_sunglasses,0.8399901390075684,0.20420552790164948
no_ppl,poop_emoji,0.7798874378204346,0.2064639925956726
no_ppl,rc_car,0.7855335474014282,0.19186227023601532
no_ppl,red_cartoon,0.6424582600593567,0.21349312365055084
no_ppl,robot_toy,0.7727926969528198,0.19852550327777863
no_ppl,shiny_sneaker,0.8301346898078918,0.20533598959445953
no_ppl,teapot,0.8247898817062378,0.1941491961479187
no_ppl,vase,0.8213505148887634,0.19561423361301422
no_ppl,wolf_plushie,0.7840057015419006,0.19930417835712433
ppl,backpack,0.8147689700126648,0.20475679636001587
ppl,backpack_dog,0.6119988560676575,0.2095680981874466
ppl,berry_bowl,0.6645953059196472,0.1932058334350586
ppl,can,0.6167221069335938,0.19105841219425201
ppl,candle,0.7532740235328674,0.20013882219791412
ppl,cat,0.8179992437362671,0.2084740400314331
ppl,cat2,0.8037780523300171,0.20118285715579987
ppl,clock,0.7914414405822754,0.19994962215423584
ppl,colorful_sneaker,0.7917100787162781,0.20793037116527557
ppl,dog,0.7923113107681274,0.20170654356479645
ppl,dog2,0.801260232925415,0.20494776964187622
ppl,dog3,0.7371990084648132,0.19701360166072845
ppl,dog5,0.7462166547775269,0.19448734819889069
ppl,dog6,0.7693611979484558,0.20217835903167725
ppl,dog7,0.8017231822013855,0.19484685361385345
ppl,dog8,0.77409428358078,0.19779904186725616
ppl,duck_toy,0.7661222219467163,0.2037029266357422
ppl,fancy_boot,0.7733798623085022,0.20501703023910522
ppl,grey_sloth_plushie,0.7771050333976746,0.2063426524400711
ppl,monster_toy,0.6195369958877563,0.19763518869876862
ppl,pink_sunglasses,0.8293659687042236,0.20075911283493042
ppl,poop_emoji,0.7433604598045349,0.20289093255996704
ppl,rc_car,0.7180846333503723,0.19316668808460236
ppl,red_cartoon,0.5864382386207581,0.21444402635097504
ppl,robot_toy,0.7287570834159851,0.198858842253685
ppl,shiny_sneaker,0.7948455810546875,0.20218811929225922
ppl,teapot,0.8229278326034546,0.1979626566171646
ppl,vase,0.7891120910644531,0.20061461627483368
ppl,wolf_plushie,0.7680312395095825,0.20138125121593475
