condition,subject,PRES
no_ppl,backpack,0.3142756521701813
no_ppl,backpack_dog,0.374801367521286
no_ppl,bear_plushie,0.6387201547622681
no_ppl,bear_plushie,0.5364363789558411
no_ppl,cat,0.6338551044464111
no_ppl,cat2,0.5751111507415771
no_ppl,colorful_sneaker,0.7657806873321533
no_ppl,dog,0.4695521891117096
no_ppl,dog,0.06820829212665558
no_ppl,dog,0.28031808137893677
no_ppl,dog,0.5048407912254333
no_ppl,dog,0.34905821084976196
no_ppl,dog,0.4834715723991394
no_ppl,dog2,0.4377983808517456
no_ppl,dog2,0.06519248336553574
no_ppl,dog2,0.2028835415840149
no_ppl,dog2,0.1644456386566162
no_ppl,dog2,0.30669498443603516
no_ppl,dog2,0.16658194363117218
no_ppl,dog3,0.029650112614035606
no_ppl,dog3,0.06977368146181107
no_ppl,dog3,0.09415332227945328
no_ppl,dog3,0.04127161204814911
no_ppl,dog3,0.1785735934972763
no_ppl,dog3,0.09796030074357986
no_ppl,dog5,0.2901557981967926
no_ppl,dog5,0.24371549487113953
no_ppl,dog5,0.08316150307655334
no_ppl,dog5,0.20736412703990936
no_ppl,dog5,0.37308019399642944
no_ppl,dog5,0.23819677531719208
no_ppl,dog6,0.47230952978134155
no_ppl,dog6,0.14286449551582336
no_ppl,dog6,0.10312522947788239
no_ppl,dog6,0.1815257966518402
no_ppl,dog6,0.24632060527801514
no_ppl,dog6,0.3651118874549866
no_ppl,dog7,0.2721366882324219
no_ppl,dog7,0.32978081703186035
no_ppl,dog7,0.18873895704746246
no_ppl,dog7,0.40574511885643005
no_ppl,dog7,0.20129533112049103
no_ppl,dog7,0.23711831867694855
no_ppl,dog8,0.4638268053531647
no_ppl,dog8,0.2141348421573639
no_ppl,dog8,0.08420057594776154
no_ppl,dog8,0.25497180223464966
no_ppl,dog8,0.3485219478607178
no_ppl,dog8,0.2597976326942444
no_ppl,duck_toy,0.2774799168109894
no_ppl,duck_toy,0.4916948080062866
no_ppl,duck_toy,0.38256362080574036
no_ppl,duck_toy,0.3369961082935333
no_ppl,grey_sloth_plushie,0.66841059923172
no_ppl,grey_sloth_plushie,0.5305896997451782
no_ppl,monster_toy,0.27375444769859314
no_ppl,monster_toy,0.23852689564228058
no_ppl,monster_toy,0.23092754185199738
no_ppl,monster_toy,0.2167021483182907
no_ppl,poop_emoji,0.4793427884578705
no_ppl,poop_emoji,0.28167837858200073
no_ppl,poop_emoji,0.3349889814853668
no_ppl,poop_emoji,0.3609885573387146
no_ppl,rc_car,0.38347792625427246
no_ppl,rc_car,0.2595069110393524
no_ppl,rc_car,0.3177834451198578
no_ppl,rc_car,0.42355793714523315
no_ppl,robot_toy,0.29446911811828613
no_ppl,robot_toy,0.20179656147956848
no_ppl,robot_toy,0.2876157760620117
no_ppl,robot_toy,0.3645660877227783
no_ppl,shiny_sneaker,0.7683234810829163
no_ppl,wolf_plushie,0.49647608399391174
no_ppl,wolf_plushie,0.45180878043174744
ppl,backpack,0.20592081546783447
ppl,backpack_dog,0.3393320143222809
ppl,bear_plushie,0.6509758830070496
ppl,bear_plushie,0.5141052007675171
ppl,cat,0.6327642202377319
ppl,cat2,0.5635320544242859
ppl,colorful_sneaker,0.7215127944946289
ppl,dog,0.40664973855018616
ppl,dog,0.1094764694571495
ppl,dog,0.22129113972187042
ppl,dog,0.4279593825340271
ppl,dog,0.2234942466020584
ppl,dog,0.4126192033290863
ppl,dog2,0.36138999462127686
ppl,dog2,0.11852487921714783
ppl,dog2,0.14760364592075348
ppl,dog2,0.1824311763048172
ppl,dog2,0.19091922044754028
ppl,dog2,0.17535275220870972
ppl,dog3,0.06393912434577942
ppl,dog3,0.10036752372980118
ppl,dog3,0.09399130940437317
ppl,dog3,0.06956681609153748
ppl,dog3,0.15718090534210205
ppl,dog3,0.0990387424826622
ppl,dog5,0.25862812995910645
ppl,dog5,0.25434568524360657
ppl,dog5,0.14028099179267883
ppl,dog5,0.19759029150009155
ppl,dog5,0.27645033597946167
ppl,dog5,0.18838393688201904
ppl,dog6,0.4129764437675476
ppl,dog6,0.19481727480888367
ppl,dog6,0.13828161358833313
ppl,dog6,0.22662630677223206
ppl,dog6,0.21878261864185333
ppl,dog6,0.3485032916069031
ppl,dog7,0.266832172870636
ppl,dog7,0.3152469992637634
ppl,dog7,0.2507600486278534
ppl,dog7,0.34611231088638306
ppl,dog7,0.22686584293842316
ppl,dog7,0.21320584416389465
ppl,dog8,0.4626995921134949
ppl,dog8,0.21719136834144592
ppl,dog8,0.11339990794658661
ppl,dog8,0.19469431042671204
ppl,dog8,0.3193604350090027
ppl,dog8,0.18290741741657257
ppl,duck_toy,0.2800441384315491
ppl,duck_toy,0.4316619038581848
ppl,duck_toy,0.3760216534137726
ppl,duck_toy,0.2933269739151001
ppl,grey_sloth_plushie,0.5105844736099243
ppl,monster_toy,0.23759284615516663
ppl,monster_toy,0.24440303444862366
ppl,monster_toy,0.21791663765907288
ppl,monster_toy,0.19142748415470123
ppl,poop_emoji,0.3851092457771301
ppl,poop_emoji,0.25531089305877686
ppl,poop_emoji,0.3189834952354431
ppl,poop_emoji,0.30964863300323486
ppl,rc_car,0.36693325638771057
ppl,rc_car,0.24323821067810059
ppl,rc_car,0.3322213292121887
ppl,rc_car,0.3513825535774231
ppl,robot_toy,0.2668355107307434
ppl,robot_toy,0.1869693249464035
ppl,robot_toy,0.2951297163963318
ppl,robot_toy,0.3144051134586334
ppl,shiny_sneaker,0.7312142252922058
ppl,wolf_plushie,0.4479549527168274
